2024-05-05 18:26:55,244 - DEBUG    8109 --- [bvdk_scraper.py:124] | Scraping Brandenburg - 2024
2024-05-05 18:26:55,483 - DEBUG    8109 --- [bvdk_scraper.py:128] | deselect all
2024-05-05 18:27:22,531 - DEBUG    8712 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:27:23,541 - DEBUG    8712 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:27:23,544 - DEBUG    8712 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:27:24,545 - DEBUG    8712 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:27:24,583 - DEBUG    8712 --- [bvdk_scraper.py:127] | deselect all
2024-05-05 18:27:25,823 - DEBUG    8712 --- [bvdk_scraper.py:130] | wait for throbber...
2024-05-05 18:27:26,448 - DEBUG    8712 --- [bvdk_scraper.py:133] | continue...
2024-05-05 18:27:27,646 - DEBUG    8712 --- [bvdk_scraper.py:138] | table done
2024-05-05 18:27:28,308 - DEBUG    8712 --- [bvdk_scraper.py:170] | Baden-Württemberg done - [7 competitions]
2024-05-05 18:27:28,308 - DEBUG    8712 --- [bvdk_scraper.py:124] | Scraping Bayern - 2024
2024-05-05 18:27:28,552 - DEBUG    8712 --- [bvdk_scraper.py:127] | deselect all
2024-05-05 18:30:07,309 - DEBUG    9452 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:30:08,319 - DEBUG    9452 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:30:08,322 - DEBUG    9452 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:30:09,323 - DEBUG    9452 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:30:09,358 - DEBUG    9452 --- [bvdk_scraper.py:127] | deselect all
2024-05-05 18:30:10,603 - DEBUG    9452 --- [bvdk_scraper.py:130] | wait for throbber...
2024-05-05 18:30:11,232 - DEBUG    9452 --- [bvdk_scraper.py:133] | continue...
2024-05-05 18:30:12,437 - DEBUG    9452 --- [bvdk_scraper.py:138] | table done
2024-05-05 18:30:13,092 - DEBUG    9452 --- [bvdk_scraper.py:170] | Baden-Württemberg done - [7 competitions]
2024-05-05 18:30:13,092 - DEBUG    9452 --- [bvdk_scraper.py:124] | Scraping Bayern - 2024
2024-05-05 18:30:13,333 - DEBUG    9452 --- [bvdk_scraper.py:127] | deselect all
2024-05-05 18:32:13,906 - DEBUG    10118 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:32:14,916 - DEBUG    10118 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:32:14,918 - DEBUG    10118 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:32:15,920 - DEBUG    10118 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:32:15,955 - DEBUG    10118 --- [bvdk_scraper.py:126] | selected: []
2024-05-05 18:32:15,977 - DEBUG    10118 --- [bvdk_scraper.py:128] | deselect all
2024-05-05 18:32:16,000 - DEBUG    10118 --- [bvdk_scraper.py:129] | selected after deselect: []
2024-05-05 18:32:18,275 - DEBUG    10118 --- [bvdk_scraper.py:133] | select now: ['Baden-Württemberg']
2024-05-05 18:32:20,277 - DEBUG    10118 --- [bvdk_scraper.py:135] | wait for throbber...
2024-05-05 18:32:20,280 - DEBUG    10118 --- [bvdk_scraper.py:138] | continue...
2024-05-05 18:32:21,467 - DEBUG    10118 --- [bvdk_scraper.py:143] | table done
2024-05-05 18:32:22,119 - DEBUG    10118 --- [bvdk_scraper.py:175] | Baden-Württemberg done - [7 competitions]
2024-05-05 18:32:22,120 - DEBUG    10118 --- [bvdk_scraper.py:124] | Scraping Bayern - 2024
2024-05-05 18:32:22,153 - DEBUG    10118 --- [bvdk_scraper.py:126] | selected: ['Baden-Württemberg']
2024-05-05 18:32:22,387 - DEBUG    10118 --- [bvdk_scraper.py:128] | deselect all
2024-05-05 18:32:22,410 - DEBUG    10118 --- [bvdk_scraper.py:129] | selected after deselect: []
2024-05-05 18:34:47,454 - DEBUG    10867 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:34:48,463 - DEBUG    10867 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:34:48,466 - DEBUG    10867 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:34:49,468 - DEBUG    10867 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:34:49,501 - DEBUG    10867 --- [bvdk_scraper.py:126] | selected: []
2024-05-05 18:34:49,522 - DEBUG    10867 --- [bvdk_scraper.py:130] | deselect all
2024-05-05 18:34:49,544 - DEBUG    10867 --- [bvdk_scraper.py:131] | selected after deselect: []
2024-05-05 18:35:39,937 - DEBUG    11363 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:35:40,947 - DEBUG    11363 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:35:40,949 - DEBUG    11363 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:35:41,950 - DEBUG    11363 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:35:41,986 - DEBUG    11363 --- [bvdk_scraper.py:126] | selected: []
2024-05-05 18:35:42,009 - DEBUG    11363 --- [bvdk_scraper.py:130] | deselect all
2024-05-05 18:35:42,030 - DEBUG    11363 --- [bvdk_scraper.py:131] | selected after deselect: []
2024-05-05 18:38:38,776 - DEBUG    12162 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:38:39,785 - DEBUG    12162 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:38:39,788 - DEBUG    12162 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:38:40,789 - DEBUG    12162 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:38:42,217 - DEBUG    12162 --- [bvdk_scraper.py:128] | selected: []
2024-05-05 18:38:42,495 - DEBUG    12162 --- [bvdk_scraper.py:138] | select now: ['Baden-Württemberg']
2024-05-05 18:38:44,497 - DEBUG    12162 --- [bvdk_scraper.py:140] | wait for throbber...
2024-05-05 18:38:44,500 - DEBUG    12162 --- [bvdk_scraper.py:143] | continue...
2024-05-05 18:38:45,692 - DEBUG    12162 --- [bvdk_scraper.py:149] | table done
2024-05-05 18:38:46,405 - DEBUG    12162 --- [bvdk_scraper.py:184] | Baden-Württemberg done - [7 competitions]
2024-05-05 18:38:46,405 - DEBUG    12162 --- [bvdk_scraper.py:124] | Scraping Bayern - 2024
2024-05-05 18:38:47,831 - DEBUG    12162 --- [bvdk_scraper.py:128] | selected: []
2024-05-05 18:38:48,078 - DEBUG    12162 --- [bvdk_scraper.py:138] | select now: ['Bayern']
2024-05-05 18:38:50,080 - DEBUG    12162 --- [bvdk_scraper.py:140] | wait for throbber...
2024-05-05 18:38:50,083 - DEBUG    12162 --- [bvdk_scraper.py:143] | continue...
2024-05-05 18:38:51,631 - DEBUG    12162 --- [bvdk_scraper.py:149] | table done
2024-05-05 18:38:53,800 - DEBUG    12162 --- [bvdk_scraper.py:184] | Bayern done - [22 competitions]
2024-05-05 18:38:53,800 - DEBUG    12162 --- [bvdk_scraper.py:124] | Scraping Berlin - 2024
2024-05-05 18:38:55,203 - DEBUG    12162 --- [bvdk_scraper.py:128] | selected: []
2024-05-05 18:38:55,450 - DEBUG    12162 --- [bvdk_scraper.py:138] | select now: ['Berlin']
2024-05-05 18:38:57,452 - DEBUG    12162 --- [bvdk_scraper.py:140] | wait for throbber...
2024-05-05 18:38:57,455 - DEBUG    12162 --- [bvdk_scraper.py:143] | continue...
2024-05-05 18:38:58,510 - DEBUG    12162 --- [bvdk_scraper.py:149] | table done
2024-05-05 18:38:58,655 - DEBUG    12162 --- [bvdk_scraper.py:184] | Berlin done - [1 competitions]
2024-05-05 18:38:58,655 - DEBUG    12162 --- [bvdk_scraper.py:124] | Scraping Brandenburg - 2024
2024-05-05 18:39:00,071 - DEBUG    12162 --- [bvdk_scraper.py:128] | selected: []
2024-05-05 18:39:00,322 - DEBUG    12162 --- [bvdk_scraper.py:138] | select now: ['Brandenburg']
2024-05-05 18:39:02,324 - DEBUG    12162 --- [bvdk_scraper.py:140] | wait for throbber...
2024-05-05 18:39:02,326 - DEBUG    12162 --- [bvdk_scraper.py:143] | continue...
2024-05-05 18:39:03,432 - DEBUG    12162 --- [bvdk_scraper.py:149] | table done
2024-05-05 18:39:03,774 - DEBUG    12162 --- [bvdk_scraper.py:184] | Brandenburg done - [3 competitions]
2024-05-05 18:39:03,774 - DEBUG    12162 --- [bvdk_scraper.py:124] | Scraping Bremen - 2024
2024-05-05 18:39:05,200 - DEBUG    12162 --- [bvdk_scraper.py:128] | selected: []
2024-05-05 18:39:05,445 - DEBUG    12162 --- [bvdk_scraper.py:138] | select now: ['Bremen']
2024-05-05 18:39:07,447 - DEBUG    12162 --- [bvdk_scraper.py:140] | wait for throbber...
